ParameterNames,Estimate,Variance
C_x_0,,
C_y_0,,
C_z_0,,
C_l_0,,
C_m_0,,
C_n_0,,
C_x_u,,
C_x_v,,
C_x_w,,
C_y_u,,
C_y_v,,
C_y_w,,
C_z_u,,
C_z_v,,
C_z_w,,
C_l_u,,
C_l_v,,
C_l_w,,
C_m_u,,
C_m_v,,
C_m_w,,
C_n_u,,
C_n_v,,
C_n_w,,
C_x_p,,
C_x_q,,
C_x_r,,
C_y_p,,
C_y_q,,
C_y_r,,
C_z_p,,
C_z_q,,
C_z_r,,
C_l_p,,
C_l_q,,
C_l_r,,
C_m_p,,
C_m_q,,
C_m_r,,
C_n_p,,
C_n_q,,
C_n_r,,
C_x_da,,
C_x_de,,
C_x_dr,,
C_x_dt,,
C_y_da,,
C_y_de,,
C_y_dr,,
C_y_dt,,
C_z_da,,
C_z_de,,
C_z_dr,,
C_z_dt,,
C_l_da,,
C_l_de,,
C_l_dr,,
C_l_dt,,
C_m_da,,
C_m_de,,
C_m_dr,,
C_m_dt,,
C_n_da,,
C_n_de,,
C_n_dr,,
C_n_dt,,
